ticker,company_name,market,sector,industry,internal_category,financial_type,notes,company_name_jpx,market_jpx,sector_jpx,company_name_yf,market_yf,sector_yf,industry_yf,quote_type,currency,country,website,yf_fetch_status
9322.T,"Kawanishi Warehouse Co.,Ltd.",Standard,Industrials,Specialty Business Services,non_financial,non_financial,,川西倉庫,Standard,,"Kawanishi Warehouse Co.,Ltd.",JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.kawanishi.co.jp,ok
9325.T,PHYZ Holdings Inc.,Standard,Industrials,Specialty Business Services,non_financial,non_financial,,ファイズホールディングス,Standard,,PHYZ Holdings Inc.,JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.phyz.co.jp,ok
9327.T,"e-LogiT co.,ltd.",Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,イー・ロジット,Standard,,"e-LogiT co.,ltd.",JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.e-logit.com,ok
9339.T,"Coach A Co., Ltd.",Standard,Consumer Defensive,Education & Training Services,non_financial,non_financial,,コーチ・エィ,Standard,,"Coach A Co., Ltd.",JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.coacha.com,ok
9340.T,"ASO International, Inc.",Standard,Healthcare,Medical Instruments & Supplies,non_financial,non_financial,,アソインターナショナル,Standard,,"ASO International, Inc.",JPX,Healthcare,Medical Instruments & Supplies,EQUITY,JPY,Japan,https://www.aso-inter.co.jp,ok
9351.T,"Toyo Wharf & Warehouse Co., Ltd.",Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,東洋埠頭,Standard,,"Toyo Wharf & Warehouse Co., Ltd.",JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.toyofuto.co.jp,ok
9353.T,"Sakurajima Futo Kaisha, Ltd.",Standard,Industrials,Marine Shipping,non_financial,non_financial,,櫻島埠頭,Standard,,"Sakurajima Futo Kaisha, Ltd.",JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.sakurajima-futo.co.jp,ok
9355.T,Rinko Corporation,Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,リンコーコーポレーション,Standard,,Rinko Corporation,JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.rinko.co.jp,ok
9360.T,Suzuyo Shinwart Corporation,Standard,Technology,Information Technology Services,non_financial,non_financial,,鈴与シンワート,Standard,,Suzuyo Shinwart Corporation,JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.shinwart.co.jp,ok
9361.T,"Fushiki Kairiku Unso Co.,Ltd.",Standard,Industrials,Marine Shipping,non_financial,non_financial,,伏木海陸運送,Standard,,"Fushiki Kairiku Unso Co.,Ltd.",JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.fkk-toyama.co.jp,ok
9362.T,"Hyoki Kaiun Kaisha, Ltd.",Standard,Industrials,Marine Shipping,non_financial,non_financial,,兵機海運,Standard,,"Hyoki Kaiun Kaisha, Ltd.",JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.hyoki.co.jp,ok
9363.T,"Daiun Co.,Ltd.",Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,大運,Standard,,"Daiun Co.,Ltd.",JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.daiunex.co.jp,ok
9365.T,Tradia Corporation,Standard,Industrials,Marine Shipping,non_financial,non_financial,,トレーディア,Standard,,Tradia Corporation,JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.tradia.co.jp,ok
9366.T,Sanritsu Corporation,Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,サンリツ,Standard,,Sanritsu Corporation,JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.srt.co.jp,ok
9367.T,"Daito Koun Co.,Ltd.",Standard,Industrials,Marine Shipping,non_financial,non_financial,,大東港運,Standard,,"Daito Koun Co.,Ltd.",JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.daito-koun.co.jp,ok
9368.T,"Kimura Unity Co., Ltd.",Standard,Industrials,Specialty Business Services,non_financial,non_financial,,キムラユニティー,Standard,,"Kimura Unity Co., Ltd.",JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.kimura-unity.co.jp,ok
9369.T,K.R.S. Corporation,Standard,Industrials,Integrated Freight & Logistics,non_financial,non_financial,,キユーソー流通システム,Standard,,K.R.S. Corporation,JPX,Industrials,Integrated Freight & Logistics,EQUITY,JPY,Japan,https://www.krs.co.jp,ok
9376.T,"Eurasia Travel Co., Ltd.",Standard,Consumer Cyclical,Travel Services,non_financial,non_financial,,ユーラシア旅行社,Standard,,"Eurasia Travel Co., Ltd.",JPX,Consumer Cyclical,Travel Services,EQUITY,JPY,Japan,https://www.eurasia.co.jp,ok
9380.T,"Azuma Shipping Co., Ltd.",Standard,Industrials,Marine Shipping,non_financial,non_financial,,東海運,Standard,,"Azuma Shipping Co., Ltd.",JPX,Industrials,Marine Shipping,EQUITY,JPY,Japan,https://www.azumaship.co.jp,ok
9385.T,Shoei Corporation,Standard,Communication Services,Advertising Agencies,non_financial,non_financial,,ショーエイコーポレーション,Standard,,Shoei Corporation,JPX,Communication Services,Advertising Agencies,EQUITY,JPY,Japan,https://www.shoei-corp.co.jp,ok
9399.T,Beat Holdings Limited,Standard,Technology,Software - Application,non_financial,non_financial,,ビート・ホールディングス・リミテッド,Standard,,Beat Holdings Limited,JPX,Technology,Software - Application,EQUITY,JPY,Hong Kong,https://www.beatholdings.com,ok
9408.T,"BSN Media Holdings, Inc.",Standard,Technology,Information Technology Services,non_financial,non_financial,,ＢＳＮメディアホールディングス,Standard,,"BSN Media Holdings, Inc.",JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.ohbsn.com/holdings,ok
9414.T,Nippon BS Broadcasting Corporation,Standard,Communication Services,Broadcasting,non_financial,non_financial,,日本ＢＳ放送,Standard,,Nippon BS Broadcasting Corporation,JPX,Communication Services,Broadcasting,EQUITY,JPY,Japan,https://www.bs11.jp,ok
9417.T,"Smartvalue Co., Ltd.",Standard,Technology,Software - Infrastructure,non_financial,non_financial,,スマートバリュー,Standard,,"Smartvalue Co., Ltd.",JPX,Technology,Software - Infrastructure,EQUITY,JPY,Japan,https://www.smartvalue.ad.jp,ok
9419.T,"WirelessGate, Inc.",Standard,Communication Services,Telecom Services,non_financial,non_financial,,ワイヤレスゲート,Standard,,"WirelessGate, Inc.",JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://www.wirelessgate.co.jp,ok
9421.T,NJ Holdings Inc.,Standard,Communication Services,Telecom Services,non_financial,non_financial,,エヌジェイホールディングス,Standard,,NJ Holdings Inc.,JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://www.njhd.jp,ok
9423.T,Forval RealStraight Inc.,Standard,Real Estate,Real Estate Services,non_financial,non_financial,,フォーバル・リアルストレート,Standard,,Forval RealStraight Inc.,JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://www.realstraight.co.jp,ok
9425.T,ReYuu Japan Inc.,Standard,Technology,Electronics & Computer Distribution,non_financial,non_financial,,ＲｅＹｕｕ　Ｊａｐａｎ,Standard,,ReYuu Japan Inc.,JPX,Technology,Electronics & Computer Distribution,EQUITY,JPY,Japan,https://www.reyuu-japan.com,ok
9428.T,Crops Corporation,Standard,Communication Services,Telecom Services,non_financial,non_financial,,クロップス,Standard,,Crops Corporation,JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://www.crops.ne.jp,ok
9436.T,Okinawa Cellular Telephone Company,Standard,Communication Services,Telecom Services,non_financial,non_financial,,沖縄セルラー電話,Standard,,Okinawa Cellular Telephone Company,JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://okinawa-cellular.jp,ok
9439.T,M H Group Ltd.,Standard,Consumer Cyclical,Personal Services,non_financial,non_financial,,エム・エイチ・グループ,Standard,,M H Group Ltd.,JPX,Consumer Cyclical,Personal Services,EQUITY,JPY,Japan,https://mhgroup.co.jp,ok
9441.T,"Bell-Park Co.,Ltd.",Standard,Consumer Cyclical,Specialty Retail,non_financial,non_financial,,ベルパーク,Standard,,"Bell-Park Co.,Ltd.",JPX,Consumer Cyclical,Specialty Retail,EQUITY,JPY,Japan,https://www.bellpark.co.jp,ok
9444.T,"Toshin Holdings Co.,Ltd",Standard,Consumer Cyclical,Specialty Retail,non_financial,non_financial,,トーシンホールディングス,Standard,,"Toshin Holdings Co.,Ltd",JPX,Consumer Cyclical,Specialty Retail,EQUITY,JPY,Japan,https://www.toshin-group.com,ok
9445.T,"Forval Telecom,Inc.",Standard,Communication Services,Telecom Services,non_financial,non_financial,,フォーバルテレコム,Standard,,"Forval Telecom,Inc.",JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://www.forvaltel.co.jp,ok
9446.T,"SAKAI Holdings CO.,LTD",Standard,Communication Services,Telecom Services,non_financial,non_financial,,サカイホールディングス,Standard,,"SAKAI Holdings CO.,LTD",JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://sakai-holdings.co.jp,ok
9450.T,Fibergate Inc.,Standard,Communication Services,Telecom Services,non_financial,non_financial,,ファイバーゲート,Standard,,Fibergate Inc.,JPX,Communication Services,Telecom Services,EQUITY,JPY,Japan,https://www.fibergate.co.jp,ok
9466.T,Aidma Marketing Communication Corporation,Standard,Communication Services,Advertising Agencies,non_financial,non_financial,,アイドママーケティングコミュニケーション,Standard,,Aidma Marketing Communication Corporation,JPX,Communication Services,Advertising Agencies,EQUITY,JPY,Japan,https://www.e-aidma.co.jp,ok
9475.T,"Shobunsha Holdings, Inc.",Standard,Communication Services,Publishing,non_financial,non_financial,,昭文社ホールディングス,Standard,,"Shobunsha Holdings, Inc.",JPX,Communication Services,Publishing,EQUITY,JPY,Japan,https://www.mapple.co.jp,ok
9476.T,"Chuokeizai-Sha Holdings, Inc.",Standard,Communication Services,Publishing,non_financial,non_financial,,中央経済社ホールディングス,Standard,,"Chuokeizai-Sha Holdings, Inc.",JPX,Communication Services,Publishing,EQUITY,JPY,Japan,https://www.chuokeizai.co.jp,ok
9478.T,"SE Holdings and Incubations Co., Ltd.",Standard,Communication Services,Publishing,non_financial,non_financial,,ＳＥホールディングス・アンド・インキュベーションズ,Standard,,"SE Holdings and Incubations Co., Ltd.",JPX,Communication Services,Publishing,EQUITY,JPY,Japan,https://www.sehi.co.jp,ok
9514.T,EF-ON Inc.,Standard,Utilities,Utilities - Renewable,non_financial,non_financial,,エフオン,Standard,,EF-ON Inc.,JPX,Utilities,Utilities - Renewable,EQUITY,JPY,Japan,https://www.ef-on.co.jp,ok
9537.T,"Hokuriku Gas Co.,Ltd.",Standard,Utilities,Utilities - Regulated Gas,non_financial,non_financial,,北陸瓦斯,Standard,,"Hokuriku Gas Co.,Ltd.",JPX,Utilities,Utilities - Regulated Gas,EQUITY,JPY,Japan,https://www.hokurikugas.co.jp,ok
9539.T,"Keiyo Gas Co., Ltd.",Standard,Utilities,Utilities - Regulated Gas,non_financial,non_financial,,京葉瓦斯,Standard,,"Keiyo Gas Co., Ltd.",JPX,Utilities,Utilities - Regulated Gas,EQUITY,JPY,Japan,https://www.keiyogas.co.jp,ok
9564.T,FCE Inc.,Standard,Industrials,Conglomerates,non_financial,non_financial,,ＦＣＥ,Standard,,FCE Inc.,JPX,Industrials,Conglomerates,EQUITY,JPY,Japan,https://www.fce-hd.co.jp,ok
9610.T,Wilson Learning Worldwide Inc.,Standard,Industrials,Staffing & Employment Services,non_financial,non_financial,,ウィルソン・ラーニング　ワールドワイド,Standard,,Wilson Learning Worldwide Inc.,JPX,Industrials,Staffing & Employment Services,EQUITY,JPY,Japan,https://global.wilsonlearning.com,ok
9625.T,"Cerespo Co., Ltd.",Standard,Communication Services,Advertising Agencies,non_financial,non_financial,,セレスポ,Standard,,"Cerespo Co., Ltd.",JPX,Communication Services,Advertising Agencies,EQUITY,JPY,Japan,https://www.cerespo.co.jp,ok
9632.T,"Subaru Enterprise Co., Ltd.",Standard,Industrials,Specialty Business Services,non_financial,non_financial,,スバル興業,Standard,,"Subaru Enterprise Co., Ltd.",JPX,Industrials,Specialty Business Services,EQUITY,JPY,Japan,https://www.subaru-kougyou.jp,ok
